id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
19223,KAAA,small_airport,Logan County Airport,40.158699,-89.334999,597.0,,US,US-IL,Lincoln,no,,,KAAA,AAA,,https://en.wikipedia.org/wiki/Logan_County_Airport_(Illinois),
19224,KAAF,small_airport,Apalachicola Regional Airport,29.727501,-85.027496,20.0,,US,US-FL,Apalachicola,no,KAAF,AAF,KAAF,AAF,,https://en.wikipedia.org/wiki/Apalachicola_Municipal_Airport,"AQQ, KAQQ"
19225,KAAO,small_airport,Colonel James Jabara Airport,37.74760056,-97.22109985,1421.0,,US,US-KS,Wichita,no,,,KAAO,AAO,,https://en.wikipedia.org/wiki/Colonel_James_Jabara_Airport,
19226,KAAS,small_airport,Taylor County Airport,37.358254,-85.309434,921.0,,US,US-KY,Campbellsville,no,,,KAAS,AAS,https://taylorcountyky.gov/airport,https://en.wikipedia.org/wiki/Taylor_County_Airport_(Kentucky),
19227,KAAT,small_airport,Alturas Municipal Airport,41.482736,-120.565671,4378.0,,US,US-CA,Alturas,no,,,KAAT,AAT,,https://en.wikipedia.org/wiki/Alturas_Municipal_Airport,
3356,KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393.0,,US,US-PA,Allentown,yes,KABE,ABE,KABE,ABE,,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,
3357,KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.6819000244,1791.0,,US,US-TX,Abilene,yes,KABI,ABI,KABI,ABI,,https://en.wikipedia.org/wiki/Abilene_Regional_Airport,
16091,KABQ,large_airport,Albuquerque International Sunport,35.039976,-106.608925,5355.0,,US,US-NM,Albuquerque,yes,KABQ,ABQ,KABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,
3358,KABR,medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605467,1302.0,,US,US-SD,Aberdeen,yes,KABR,ABR,KABR,ABR,,https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197.0,,US,US-GA,Albany,yes,KABY,ABY,KABY,ABY,,https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,
19228,KACB,small_airport,Antrim County Airport,44.988602,-85.198402,623.0,,US,US-MI,Bellaire,no,KACB,ACB,KACB,ACB,,https://en.wikipedia.org/wiki/Antrim_County_Airport,
19229,KACJ,small_airport,Jimmy Carter Regional Airport,32.110802,-84.188904,468.0,,US,US-GA,Americus,no,,,KACJ,ACJ,,https://en.wikipedia.org/wiki/Jimmy_Carter_Regional_Airport,Souther Field
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47.0,,US,US-MA,Nantucket,yes,KACK,ACK,KACK,ACK,,https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport,
19230,KACP,small_airport,Allen Parish Airport,30.750299,-92.688301,107.0,,US,US-LA,Oakdale,no,,,KACP,ACP,https://www.allenparishpolicejury.com/allen_parish_airport/index.php,https://en.wikipedia.org/wiki/Allen_Parish_Airport,
19231,KACQ,small_airport,Waseca Municipal Airport,44.073502,-93.552902,1126.0,,US,US-MN,Waseca,no,,,KACQ,ACQ,,https://en.wikipedia.org/wiki/Waseca_Municipal_Airport,
3361,KACT,medium_airport,Waco Regional Airport,31.611299514770508,-97.23049926757812,516.0,,US,US-TX,Waco,yes,KACT,ACT,KACT,ACT,,https://en.wikipedia.org/wiki/Waco_Regional_Airport,
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221.0,,US,US-CA,Arcata/Eureka,yes,KACV,ACV,KACV,ACV,,https://en.wikipedia.org/wiki/Arcata-Eureka_Airport,Arcata Airport
